Request time;Update time;Time;Temperature, deg. C;Humidity, pct;Pressure, mmHg;Precipitation, mm;Snowfall, sm;Snow depth, sm;Wind speed, m/s;Wind direction;Conditions;Road conditions;Visibility;UV index;Kp-index;Birch pollen, points
2022-02-18 08:11:58;;2022-02-18 02:00:00;-6;67;748;0;—;45,6;2;ЮЗ;Пасмурно;Сухая дорога;43 км;0;2;
;;2022-02-18 05:00:00;-7;67;748;0;—;45,4;2;ЮЗ;Пасмурно;Сухая дорога;39 км;0;2;
;2022-02-17 17:00:00;2022-02-18 08:00:00;-10;86;750;0;—;45,3;3-6;ЮЗ;Ясно;Сухая дорога;39 км;0;2;
;2022-02-17 17:00:00;2022-02-18 11:00:00;-7;71;750;0;—;45,2;3-7;ЮЗ;Ясно;Сухая дорога;48 км;1;1;
;2022-02-17 17:00:00;2022-02-18 14:00:00;-3;56;750;0;—;45,1;2-6;ЮЗ;Ясно;Сухая дорога;53 км;2;1;
;2022-02-17 17:00:00;2022-02-18 17:00:00;-4;62;750;0;—;44,9;3-5;Ю;Ясно;Сухая дорога;52 км;0;1;
;2022-02-17 17:00:00;2022-02-18 20:00:00;-6;76;751;0;—;44,7;4-7;ЮЗ;Ясно;Сухая дорога;48 км;0;1;
;2022-02-17 17:00:00;2022-02-18 23:00:00;-7;78;751;0;—;44,6;4-7;ЮЗ;Ясно;Сухая дорога;48 км;0;2;
2022-02-18 08:12:00;2022-02-17 17:00:00;2022-02-19 02:00:00;-7;83;751;0;—;44,5;4-7;ЮЗ;Ясно;Сухая дорога;43 км;0;1;
;2022-02-17 17:00:00;2022-02-19 05:00:00;-7;80;751;0;—;44,4;4-7;ЮЗ;Ясно;Сухая дорога;45 км;0;2;
;2022-02-17 17:00:00;2022-02-19 08:00:00;-8;78;751;0;—;44,3;4-7;ЮЗ;Ясно;Сухая дорога;47 км;0;2;
;2022-02-17 17:00:00;2022-02-19 11:00:00;-5;64;751;0;—;44,2;3-7;Ю;Ясно;Сухая дорога;51 км;1;1;
;2022-02-17 17:00:00;2022-02-19 14:00:00;-2;52;750;0;—;43,9;3-7;Ю;Ясно;Сухая дорога;53 км;2;1;
;2022-02-17 17:00:00;2022-02-19 17:00:00;-3;57;750;0;—;43,8;4-8;Ю;Ясно;Сухая дорога;52 км;0;1;
;2022-02-17 17:00:00;2022-02-19 20:00:00;-7;78;750;0;—;43,6;4-8;Ю;Ясно;Сухая дорога;46 км;0;1;
;2022-02-17 17:00:00;2022-02-19 23:00:00;-8;82;749;0;—;43,5;4-8;Ю;Ясно;Сухая дорога;42 км;0;2;
2022-02-18 08:12:02;2022-02-17 17:00:00;2022-02-20 02:00:00;-9;81;748;0;—;43,4;4-8;Ю;Ясно;Сухая дорога;43 км;0;1;
;2022-02-17 17:00:00;2022-02-20 05:00:00;-8;76;747;0;—;43,3;4-8;Ю;Пасмурно;Сухая дорога;46 км;0;2;
;2022-02-17 17:00:00;2022-02-20 08:00:00;-7;72;746;0;—;43,2;4-7;Ю;Пасмурно;Снежный налёт;27 км;0;1;
;2022-02-17 17:00:00;2022-02-20 11:00:00;-5;70;745;0;—;43,1;3-7;Ю;Пасмурно;Снежный налёт;30 км;1;1;
;2022-02-17 17:00:00;2022-02-20 14:00:00;-3;66;743;0;—;43;3-7;Ю;Пасмурно;Тающий снег;41 км;2;1;
;2022-02-17 17:00:00;2022-02-20 17:00:00;-4;75;742;0,2;0,3;43;4-8;Ю;Пасмурно, небольшой снег;Тающий снег;17 км;0;3;
;2022-02-17 17:00:00;2022-02-20 20:00:00;-5;81;741;0,4;0,6;43,2;4-8;Ю;Пасмурно, небольшой снег;Снежный налёт;5 км;0;4;
;2022-02-17 17:00:00;2022-02-20 23:00:00;-6;84;739;0;—;43,2;4-8;Ю;Пасмурно;Снежный налёт;22 км;0;4;
2022-02-18 08:12:04;2022-02-17 17:00:00;2022-02-21 02:00:00;-5;90;737;0;—;43,1;4-8;Ю;Пасмурно;Снежный налёт;17 км;0;5;
;2022-02-17 17:00:00;2022-02-21 05:00:00;-5;92;736;0;—;43,1;4-8;ЮЗ;Пасмурно;Снег/лёд;31 км;0;2;
;2022-02-17 17:00:00;2022-02-21 08:00:00;-3;89;736;0;—;43;4-8;Ю;Пасмурно;Снег/лёд;17 км;0;2;
;2022-02-17 17:00:00;2022-02-21 11:00:00;-1;81;736;0;—;43;3-7;Ю;Облачно;Снег/лёд;46 км;1;2;
;2022-02-17 17:00:00;2022-02-21 14:00:00;+2;69;736;0;—;42,8;5-13;З;Пасмурно;Тающий снег;23 км;2;2;
;2022-02-17 17:00:00;2022-02-21 17:00:00;+1;74;738;0;—;42,3;4-11;ЮЗ;Облачно;Тающий снег;45 км;0;2;
;2022-02-17 17:00:00;2022-02-21 20:00:00;-2;84;739;0;—;42,2;4-8;ЮЗ;Пасмурно;Тающий снег;43 км;0;2;
;2022-02-17 17:00:00;2022-02-21 23:00:00;-1;80;740;0;—;42;3-9;ЮЗ;Пасмурно;Тающий снег;31 км;0;2;
2022-02-18 08:12:05;2022-02-17 17:00:00;2022-02-22 02:00:00;-2;78;740;0;—;41,9;3-9;З;Пасмурно;Тающий снег;44 км;0;2;
;2022-02-17 17:00:00;2022-02-22 05:00:00;-2;82;740;0;—;41,8;3-6;ЮЗ;Пасмурно;Тающий снег;22 км;0;4;
;2022-02-17 17:00:00;2022-02-22 08:00:00;-3;90;741;0;—;41,7;3-6;ЮЗ;Пасмурно;Тающий снег;18 км;0;4;
;2022-02-17 17:00:00;2022-02-22 11:00:00;-1;76;741;0;—;41,6;4-9;З;Пасмурно;Тающий снег;38 км;1;4;
;2022-02-17 17:00:00;2022-02-22 14:00:00;+1;69;742;0;—;41,5;5-10;З;Пасмурно;Тающий снег;42 км;2;4;
;2022-02-17 17:00:00;2022-02-22 17:00:00;0;71;743;0;—;41,2;3-10;З;Пасмурно;Тающий снег;30 км;0;4;
;2022-02-17 17:00:00;2022-02-22 20:00:00;-2;86;744;0;—;41,1;3-6;ЮЗ;Облачно;Тающий снег;41 км;0;4;
;2022-02-17 17:00:00;2022-02-22 23:00:00;-3;92;745;0;—;41;3-6;ЮЗ;Ясно;Снежный налёт;37 км;0;4;
2022-02-18 08:12:07;2022-02-17 17:00:00;2022-02-23 02:00:00;-4;93;745;0;—;40,9;3-6;Ю;Пасмурно;Чёрный лёд;29 км;0;4;
;2022-02-17 17:00:00;2022-02-23 05:00:00;-2;90;745;0,5;0,5;41,1;4-8;Ю;Пасмурно, снег;Много снега;9 км;0;5;
;2022-02-17 17:00:00;2022-02-23 08:00:00;-1;88;744;0,3;0,3;41,2;5-9;Ю;Пасмурно, небольшой снег;Много снега;15 км;0;5;
;2022-02-17 17:00:00;2022-02-23 11:00:00;+1;81;744;0;—;41,2;4-10;Ю;Пасмурно;Тающий снег;19 км;1;5;
;2022-02-17 17:00:00;2022-02-23 14:00:00;+2;74;744;0;—;40,6;5-10;ЮЗ;Пасмурно;Влажная дорога;46 км;1;5;
;2022-02-17 17:00:00;2022-02-23 17:00:00;+3;77;744;0;—;40;5-12;ЮЗ;Пасмурно;Сухая дорога;46 км;0;5;
;2022-02-17 17:00:00;2022-02-23 20:00:00;+3;79;744;0;—;39,5;5-12;ЮЗ;Пасмурно;Влажная дорога;32 км;0;5;
;2022-02-17 17:00:00;2022-02-23 23:00:00;+2;81;743;0;—;39,1;5-11;ЮЗ;Пасмурно;Влажная дорога;17 км;0;5;
2022-02-18 08:12:09;2022-02-17 17:00:00;2022-02-24 02:00:00;+2;81;743;0;—;38,7;5-11;ЮЗ;Пасмурно;Влажная дорога;26 км;0;5;
;2022-02-17 17:00:00;2022-02-24 05:00:00;+2;81;742;0;—;38,3;5-10;ЮЗ;Пасмурно;Влажная дорога;35 км;0;4;
;2022-02-17 17:00:00;2022-02-24 08:00:00;+2;81;742;0;—;38,1;5-10;ЮЗ;Пасмурно;Влажная дорога;24 км;0;4;
;2022-02-17 17:00:00;2022-02-24 11:00:00;+3;81;741;0;—;37,8;5-10;ЮЗ;Пасмурно;Влажная дорога;12 км;1;4;
;2022-02-17 17:00:00;2022-02-24 14:00:00;+3;81;741;0,2;—;36,9;4-10;ЮЗ;Пасмурно, небольшой дождь;Влажная дорога;12 км;1;4;
;2022-02-17 17:00:00;2022-02-24 17:00:00;+4;81;740;0,2;—;36;5-10;ЮЗ;Пасмурно, небольшой дождь;Влажная дорога;11 км;0;4;
;2022-02-17 17:00:00;2022-02-24 20:00:00;+2;84;741;0,1;—;35,6;5-10;ЮЗ;Облачно, небольшой дождь;Влажная дорога;25 км;0;4;
;2022-02-17 17:00:00;2022-02-24 23:00:00;0;88;742;0,1;—;35,2;5-9;З;Малооблачно, небольшой снег;Замерзающий дождь;40 км;0;4;
2022-02-18 08:12:11;2022-02-17 17:00:00;2022-02-25 02:00:00;0;85;743;0;—;35,1;4-10;З;Облачно;Снежный налёт;35 км;0;4;
;2022-02-17 17:00:00;2022-02-25 05:00:00;0;82;746;0;—;35;4-10;СЗ;Пасмурно;Снежный налёт;29 км;0;3;
;2022-02-17 17:00:00;2022-02-25 08:00:00;-1;77;749;0,2;0,2;35,1;4-10;СЗ;Пасмурно, небольшой снег;Снежный налёт;24 км;0;3;
