Request time;Update time;Time;Min/max temperature, deg. C;Pressure, mmHg;Wind speed, m/s;Wind direction;Precipitation, mm;Probability of precipitation, pct;Conditions
2022-02-23 18:03:57;в 10:32 МСК;2022-02-23 14:00:00;3;743;4;Ю-З;0;-;Облачно, без осадков
;;2022-02-24 02:00:00;-3;743;4;Ю-З;1.3;78;Облачно, снег
;;2022-02-24 14:00:00;3;746;4;З;0;-;Облачно, без осадков
;;2022-02-25 02:00:00;-5;751;3;З;0.1;81;Облачно, небольшой кратковременный снег
;;2022-02-25 14:00:00;-1;756;2;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 02:00:00;-11;757;3;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 14:00:00;0;758;2;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-02-27 02:00:00;-10;757;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-02-27 14:00:00;0;756;2;З;0.6;62;Облачно, временами небольшие осадки
;;2022-02-28 02:00:00;-10;756;2;З;0;-;Облачно, без осадков
;;2022-02-28 14:00:00;0;756;3;З;0;-;Переменная облачность, без осадков
;;2022-03-01 02:00:00;-7;748;4;З;0;-;Облачно, без осадков
;;2022-03-01 14:00:00;2;742;4;З;0.2;66;Облачно, временами небольшие осадки
2022-02-24 05:49:47;в 18:16 МСК;2022-02-24 14:00:00;3;746;4;З;0;-;Облачно, без осадков
;;2022-02-25 02:00:00;-5;750;3;З;0.1;81;Облачно, небольшой кратковременный снег
;;2022-02-25 14:00:00;-1;755;2;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 02:00:00;-11;757;3;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 14:00:00;0;757;2;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-02-27 02:00:00;-10;757;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-02-27 14:00:00;0;756;2;З;0.6;62;Облачно, временами небольшие осадки
;;2022-02-28 02:00:00;-10;755;2;З;0;-;Облачно, без осадков
;;2022-02-28 14:00:00;0;755;3;З;0;-;Переменная облачность, без осадков
;;2022-03-01 02:00:00;-7;747;4;З;0;-;Облачно, без осадков
;;2022-03-01 14:00:00;2;742;4;З;0.2;66;Облачно, временами небольшие осадки
;;2022-03-02 02:00:00;-7;744;5;С-З;0.1;72;Облачно с прояснениями, небольшой кратковременный снег
;;2022-03-02 14:00:00;-1;749;4;С-З;0.1;74;Переменная облачность, небольшой кратковременный снег
2022-02-24 18:58:02;в 10:32 МСК;2022-02-24 14:00:00;3;746;5;З;0.4;99;Облачно, без осадков
;;2022-02-25 02:00:00;-7;751;3;З;0;-;Облачно, без осадков
;;2022-02-25 14:00:00;-1;755;3;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 02:00:00;-10;757;4;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 14:00:00;0;758;3;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-02-27 02:00:00;-9;756;3;Ю-З;0.1;87;Облачно с прояснениями, небольшой кратковременный снег
;;2022-02-27 14:00:00;1;757;2;З;1.4;58;Облачно, временами небольшие осадки
;;2022-02-28 02:00:00;-11;759;2;З;0;-;Переменная облачность, без осадков
;;2022-02-28 14:00:00;0;759;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-6;753;5;З;0;-;Переменная облачность, без осадков
;;2022-03-01 14:00:00;0;755;4;З;0;-;Переменная облачность, без осадков
;;2022-03-02 02:00:00;-8;757;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 14:00:00;0;756;3;З;0;-;Небольшая облачность, без осадков
2022-02-25 06:18:02;в 18:15 МСК;2022-02-25 14:00:00;-1;754;3;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 02:00:00;-10;757;4;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 14:00:00;0;757;3;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-02-27 02:00:00;-8;756;3;Ю-З;0.1;87;Облачно с прояснениями, небольшой кратковременный снег
;;2022-02-27 14:00:00;0;757;2;З;1.4;58;Облачно, временами небольшие осадки
;;2022-02-28 02:00:00;-12;759;2;З;0;-;Переменная облачность, без осадков
;;2022-02-28 14:00:00;0;758;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-6;753;5;З;0;-;Переменная облачность, без осадков
;;2022-03-01 14:00:00;0;754;4;З;0;-;Переменная облачность, без осадков
;;2022-03-02 02:00:00;-8;757;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 14:00:00;0;755;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-03 02:00:00;-9;755;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-03 14:00:00;2;754;3;З;0;-;Облачно, без осадков
2022-02-25 18:46:25;в 10:32 МСК;2022-02-25 14:00:00;0;755;3;З;0;-;Переменная облачность, без осадков
;;2022-02-26 02:00:00;-9;757;4;З;0;-;Небольшая облачность, без осадков
;;2022-02-26 14:00:00;0;757;2;Ю-З;0;-;Переменная облачность, без осадков
;;2022-02-27 02:00:00;-7;756;3;Ю-З;0.2;87;Переменная облачность, небольшой кратковременный снег
;;2022-02-27 14:00:00;2;756;2;З;1.6;85;Облачно, небольшие осадки
;;2022-02-28 02:00:00;-11;759;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-02-28 14:00:00;1;759;2;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-9;755;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 14:00:00;-1;756;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 02:00:00;-12;757;3;З;0;-;Переменная облачность, без осадков
;;2022-03-02 14:00:00;-1;758;3;З;0;-;Переменная облачность, без осадков
;;2022-03-03 02:00:00;-9;757;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-03 14:00:00;0;755;2;З;0;-;Облачно, без осадков
2022-02-26 06:42:09;в 18:16 МСК;2022-02-26 14:00:00;0;757;2;Ю-З;0;-;Переменная облачность, без осадков
;;2022-02-27 02:00:00;-7;755;3;Ю-З;0.2;87;Переменная облачность, небольшой кратковременный снег
;;2022-02-27 14:00:00;2;755;2;З;1.6;85;Облачно, небольшие осадки
;;2022-02-28 02:00:00;-11;758;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-02-28 14:00:00;1;758;2;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-9;754;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 14:00:00;-1;755;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 02:00:00;-12;757;3;З;0;-;Переменная облачность, без осадков
;;2022-03-02 14:00:00;-1;757;3;З;0;-;Переменная облачность, без осадков
;;2022-03-03 02:00:00;-9;756;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-03 14:00:00;0;754;2;З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-7;750;1;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;0;746;2;З;0;-;Облачно, без осадков
2022-02-26 19:33:14;в 10:32 МСК;2022-02-26 14:00:00;1;757;3;Ю-З;0;-;Переменная облачность, без осадков
;;2022-02-27 02:00:00;-8;756;3;Ю-З;0.2;95;Переменная облачность, небольшой кратковременный снег
;;2022-02-27 14:00:00;2;756;1;З;0.9;70;Облачно, небольшие осадки
;;2022-02-28 02:00:00;-11;759;2;С-З;0;-;Облачно, без осадков
;;2022-02-28 14:00:00;1;759;2;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-9;755;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 14:00:00;0;756;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 02:00:00;-11;756;3;З;0;-;Переменная облачность, без осадков
;;2022-03-02 14:00:00;1;756;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-8;754;4;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 14:00:00;2;753;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-04 02:00:00;-9;750;2;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;1;747;1;Ю-В;0;-;Облачно, без осадков
2022-02-27 06:13:09;в 18:16 МСК;2022-02-27 14:00:00;1;755;1;З;0.9;70;Облачно, небольшие осадки
;;2022-02-28 02:00:00;-11;758;2;С-З;0;-;Облачно, без осадков
;;2022-02-28 14:00:00;1;758;2;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-9;755;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-01 14:00:00;0;756;4;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 02:00:00;-11;756;3;З;0;-;Переменная облачность, без осадков
;;2022-03-02 14:00:00;1;756;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-8;754;4;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 14:00:00;2;752;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-04 02:00:00;-9;749;2;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;1;746;1;Ю-В;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-8;741;1;З;0.6;74;Облачно, временами небольшой снег
;;2022-03-05 14:00:00;0;736;2;З;2.3;74;Облачно, небольшие осадки
2022-02-27 19:54:17;в 10:31 МСК;2022-02-27 14:00:00;2;756;2;З;2.3;99;Облачно, небольшие осадки
;;2022-02-28 02:00:00;-9;757;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-02-28 14:00:00;1;756;3;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-8;753;5;З;0;-;Переменная облачность, без осадков
;;2022-03-01 14:00:00;0;753;4;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-02 02:00:00;-10;755;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 14:00:00;2;755;4;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-9;752;4;З;0;-;Переменная облачность, без осадков
;;2022-03-03 14:00:00;2;751;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-7;749;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-04 14:00:00;2;747;2;Ю-В;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-7;740;4;Ю-В;0;-;Облачно, без осадков
;;2022-03-05 14:00:00;1;733;2;Ю-В;0.1;75;Облачно, временами небольшие осадки
2022-02-28 05:48:00;в 18:15 МСК;2022-02-28 14:00:00;1;756;3;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-8;752;5;З;0;-;Переменная облачность, без осадков
;;2022-03-01 14:00:00;0;753;4;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-02 02:00:00;-10;754;3;З;0;-;Небольшая облачность, без осадков
;;2022-03-02 14:00:00;2;754;4;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-9;752;4;З;0;-;Переменная облачность, без осадков
;;2022-03-03 14:00:00;2;750;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-7;749;3;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-04 14:00:00;2;746;2;Ю-В;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-7;740;4;Ю-В;0;-;Облачно, без осадков
;;2022-03-05 14:00:00;1;732;2;Ю-В;0.1;75;Облачно, временами небольшие осадки
;;2022-03-06 02:00:00;-10;719;2;В;9.3;74;Облачно, снег
;;2022-03-06 14:00:00;-5;712;4;Ю-В;2.9;74;Облачно, снег
2022-02-28 18:41:49;в 10:32 МСК;2022-02-28 14:00:00;2;756;3;Ю-З;0;-;Небольшая облачность, без осадков
;;2022-03-01 02:00:00;-7;751;5;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-01 14:00:00;1;752;5;З;0.1;70;Переменная облачность, небольшие кратковременные осадки
;;2022-03-02 02:00:00;-11;754;3;З;0;-;Облачно, без осадков
;;2022-03-02 14:00:00;2;753;4;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-9;751;4;З;0;-;Переменная облачность, без осадков
;;2022-03-03 14:00:00;2;749;2;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-7;746;3;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;2;742;2;Ю;2.1;71;Облачно, небольшие осадки
;;2022-03-05 02:00:00;-7;737;3;Ю-В;3.4;72;Облачно, снег
;;2022-03-05 14:00:00;0;732;3;В;5.4;79;Облачно, осадки
;;2022-03-06 02:00:00;-8;729;2;С-В;5.6;75;Облачно, снег
;;2022-03-06 14:00:00;-4;733;3;С-З;1;75;Облачно, небольшой снег
2022-03-01 05:51:37;в 18:16 МСК;2022-03-01 14:00:00;1;751;5;З;0.1;70;Переменная облачность, небольшие кратковременные осадки
;;2022-03-02 02:00:00;-11;754;3;З;0;-;Облачно, без осадков
;;2022-03-02 14:00:00;2;752;4;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-9;750;4;З;0;-;Переменная облачность, без осадков
;;2022-03-03 14:00:00;2;749;2;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-8;745;3;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;2;742;2;Ю;2.1;71;Облачно, небольшие осадки
;;2022-03-05 02:00:00;-7;736;3;Ю-В;3.4;72;Облачно, снег
;;2022-03-05 14:00:00;0;732;3;В;5.4;79;Облачно, осадки
